Timestamp,Source IP,Domain,Status,Risk Score
14/2/2026, 2:21:09 pm,10.124.8.114,,NORMAL,0.00
14/2/2026, 2:21:09 pm,10.124.5.196,,NORMAL,0.00
14/2/2026, 2:21:09 pm,10.124.0.106,,NORMAL,0.00
14/2/2026, 2:21:09 pm,10.124.6.6,,NORMAL,0.00
14/2/2026, 2:21:10 pm,10.124.10.225,,NORMAL,0.00
14/2/2026, 2:21:10 pm,10.124.8.114,,NORMAL,0.00
14/2/2026, 2:21:10 pm,10.124.18.45,,NORMAL,0.00
14/2/2026, 2:21:10 pm,10.124.7.5,,NORMAL,0.00
14/2/2026, 2:21:10 pm,10.124.8.63,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.2.29,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.7.74,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.19.150,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.6.197,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.2.38,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.5.18,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.2.29,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.6.64,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.18.45,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.7.5,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.31.1,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.5.55,,NORMAL,0.00
14/2/2026, 2:21:11 pm,10.124.5.18,,NORMAL,0.00
14/2/2026, 2:21:11 pm,8.8.8.8,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.0.106,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.7.36,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.9.147,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.31.1,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.9.229,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.5.18,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.11.173,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.8.107,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.8.107,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.5.18,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.11.173,,NORMAL,0.00
14/2/2026, 2:21:12 pm,10.124.9.150,,NORMAL,0.00
